nationality,style,median_sale_price
American,"American Landscape",515
French,"American Landscape",485
American,Symbolism,475
Austrian,"Art Nouveau",455
Japanese,"Japanese Art",405
Spanish,Surrealism,405
French,Naturalism,405
English,Naturalism,405
Swiss,Nabi,385
French,Cubism,385
French,Surrealism,385
English,Symbolism,385
Swiss,Symbolism,385
Russian,Cubism,375
Spanish,Cubism,365
American,Naturalism,365
French,Avant-Garde,365
French,Symbolism,365
Swiss,Cubism,355
English,Nabi,355
French,Nabi,355
American,Avant-Garde,355
Belgian,Pointillism,355
French,Pointillism,355
Swiss,"Art Nouveau",355
French,"Art Nouveau",355
Danish,Symbolism,355
Dutch,Symbolism,355
Dutch,Naturalism,315
