nationality,style,median_sale_price
Italian,Realism,455
Flemish,Baroque,445
Italian,Baroque,425
French,Baroque,405
Spanish,Baroque,405
Norwegian,Realism,405
Irish,Expressionism,405
Italian,Impressionism,405
Danish,Impressionism,405
German,Baroque,395
Canadian,Impressionism,385
American,Expressionism,385
Austrian,Expressionism,385
Swiss,Post-Impressionism,385
Spanish,Impressionism,385
Swiss,Realism,385
Russian,Expressionism,385
Dutch,Baroque,375
Canadian,Realism,375
English,Realism,375
Dutch,Impressionism,365
American,Impressionism,355
Norwegian,Expressionism,355
English,Impressionism,355
Russian,Impressionism,355
German,Expressionism,355
French,Expressionism,355
American,Realism,355
French,Realism,355
German,Realism,355
English,Expressionism,355
Mexican,Realism,355
Belgian,Expressionism,355
Russian,Post-Impressionism,345
Spanish,Post-Impressionism,345
Austrian,Impressionism,335
French,Impressionism,335
Italian,Expressionism,335
American,Post-Impressionism,335
French,Post-Impressionism,335
Dutch,Post-Impressionism,315
